title,url,tomatometer_score,audience_score,genre,rating,duration,release_date,director,original_language,box_office,distributor
Zootopia 2,https://www.rottentomatoes.com/m/zootopia_2,93.0,96.0,"Kids & Family, Comedy, Adventure, Animation",PG (Rude Humor|Action/Violence),1h48m,"Nov 26, 2025","Jared Bush, Byron Howard",English,$158.8M,Walt Disney Pictures
Eternity,https://www.rottentomatoes.com/m/eternity_2025,78.0,90.0,"Romance, Comedy, Drama, Fantasy",PG-13 (Some Strong Language|Sexual Content),1h54m,"Nov 26, 2025",David Freyne,English,,A24
The Secret Agent,https://www.rottentomatoes.com/m/the_secret_agent_2025,99.0,93.0,"Drama, Mystery & Thriller, History",R (Some Full Nudity|Sexual Content|Language|Strong Bloody Violence),2h38m,"Nov 26, 2025, Limited",Kleber Mendonça Filho,Brazilian Portuguese,$72.5K,NEON
Troll 2,https://www.rottentomatoes.com/m/troll_2_2025,58.0,39.0,"Action, Adventure, Fantasy, Mystery & Thriller",,1h42m,"Dec 1, 2025",Roar Uthaug,Norwegian,,Netflix
All the Empty Rooms,https://www.rottentomatoes.com/m/all_the_empty_rooms,,,Documentary,PG-13 (Brief Strong Language|Thematic Material),34m,"Dec 1, 2025",Joshua Seftel,English,,Netflix
The Merchants of Joy,https://www.rottentomatoes.com/m/the_merchants_of_joy,,,"Documentary, Holiday",,1h30m,"Dec 1, 2025",Celia Aniskovich,English,,Prime Video
Living Proof,https://www.rottentomatoes.com/m/living_proof_2025,,,"Documentary, Health & Wellness",,,"Dec 1, 2025",Zeb Newman,English,,Hulu
Paul Anka: His Way,https://www.rottentomatoes.com/m/paul_anka_his_way,,,"Documentary, Music",,1h40m,"Dec 1, 2025",John Maggio,English,,HBO
TRON: Ares,https://www.rottentomatoes.com/m/tron_ares,53.0,84.0,"Sci-Fi, Action, Adventure",PG-13 (Violence/Action),1h59m,"Dec 2, 2025",Joachim Rønning,English,$73.2M,Walt Disney Pictures
Sarah's Oil,https://www.rottentomatoes.com/m/sarahs_oil,83.0,98.0,"History, Drama, Biography",PG,1h43m,"Dec 2, 2025",Cyrus Nowrasteh,English,$11.2M,Amazon MGM Studios
Trap House,https://www.rottentomatoes.com/m/trap_house_2025,59.0,87.0,Action,R (Bloody Images|Some Strong Violence),,"Dec 2, 2025",Michael Dowse,English,,Aura Entertainment
In Our Blood,https://www.rottentomatoes.com/m/in_our_blood,100.0,60.0,"Horror, Mystery & Thriller",,1h28m,"Dec 2, 2025",Pedro Kos,English,,Utopia
Lost Horizon,https://www.rottentomatoes.com/m/lost_horizon_2025,,,"Action, Mystery & Thriller, Adventure, War",,1h33m,"Dec 2, 2025",Patrick Garcia,English,,Epic Pictures
Matt Rife: Unwrapped - A Christmas Crowd Work Special,https://www.rottentomatoes.com/m/matt_rife_unwrapped_a_christmas_crowd_work_special,,,"Comedy, Stand-Up",,,"Dec 2, 2025",Erik Griffin,English,,Netflix
Tapawingo,https://www.rottentomatoes.com/m/tapawingo,,,Comedy,,1h45m,"Dec 2, 2025",Dylan K. Narang,English,$2.5K,Indican Pictures
Bau: Artist at War,https://www.rottentomatoes.com/m/bau_artist_at_war,97.0,93.0,"History, Drama, Biography",PG-13 (Thematic Material|Some Language|Smoking|Partial Nudity|Strong Violent Content|Suggestive Material),2h10m,"Dec 2, 2025",Sean McNamara,English,,ShowBiz Direct / Republic Pictures
Drink and Be Merry,https://www.rottentomatoes.com/m/drink_and_be_merry,,,"Comedy, Drama, Holiday",,1h35m,"Dec 2, 2025",Adam Volerich,English,,X4 Pictures
Capturing Kennedy,https://www.rottentomatoes.com/m/capturing_kennedy,,,Documentary,,1h30m,"Dec 2, 2025",Steele Burrow,English,,Freestyle Digital Media
Oh. What. Fun.,https://www.rottentomatoes.com/m/oh_what_fun,38.0,39.0,"Comedy, Holiday",,,"Dec 3, 2025",Michael Showalter,English,,Prime Video
My Secret Santa,https://www.rottentomatoes.com/m/my_secret_santa,,,"Holiday, Comedy, Romance",,1h30m,"Dec 3, 2025",Mike Rohl,English,,Netflix
Christmas in Nashville,https://www.rottentomatoes.com/m/christmas_in_nashville,,,"Documentary, Holiday, Music",,,"Dec 3, 2025",,English,,NBC
Christmas in Rockefeller Center,https://www.rottentomatoes.com/m/christmas_in_rockefeller_center,,,"Entertainment, Holiday, Music",,,"Dec 3, 2025",,English,,Peacock
Lali: Time to Step Up,https://www.rottentomatoes.com/m/lali_time_to_step_up,,,"Documentary, Biography, Music",,1h14m,"Dec 4, 2025",Lali,Spanish,,Netflix
I Wish You Had Told Me,https://www.rottentomatoes.com/m/i_wish_you_had_told_me,,,"Drama, LGBTQ+",,1h42m,"Dec 4, 2025",Shaira Advincula,Filipino,,Netflix
Love After Holidays,https://www.rottentomatoes.com/m/love_after_holidays,,,"Holiday, Drama",,1h15m,"Dec 4, 2025",Antoine Allen,English,,BET+
Jay Kelly,https://www.rottentomatoes.com/m/jay_kelly,78.0,87.0,"Comedy, Drama",R (Language),2h12m,"Dec 5, 2025",Noah Baumbach,English,,Netflix
Hunting Season,https://www.rottentomatoes.com/m/hunting_season_2025,,,"Action, Mystery & Thriller",,1h33m,"Dec 5, 2025",RJ Collins,English,,Samuel Goldwyn Films
The Family McMullen,https://www.rottentomatoes.com/m/the_family_mcmullen,97.0,98.0,Drama,R,1h50m,"Dec 5, 2025",Edward Burns,English,,Fathom Entertainment
The Wailing,https://www.rottentomatoes.com/m/el_llanto,74.0,78.0,Horror,,1h47m,"Dec 5, 2025",Pedro Martín-Calero,European Spanish,,Film Movement
Reflection in a Dead Diamond,https://www.rottentomatoes.com/m/reflection_in_a_dead_diamond,83.0,,"Action, Mystery & Thriller",,1h27m,"Dec 5, 2025","Hélène Cattet, Bruno Forzani",French,,Shudder
Frontier Crucible,https://www.rottentomatoes.com/m/frontier_crucible,,,"Western, Drama, Mystery & Thriller",R (Grisly Images|Strong/Bloody Violence),2h5m,"Dec 5, 2025",Travis Mills,English,,Well Go USA Entertainment
The New Yorker at 100,https://www.rottentomatoes.com/m/the_new_yorker_at_100,,,Documentary,R (Some Language),1h36m,"Dec 5, 2025",Marshall Curry,English,,Netflix
Stranger Eyes,https://www.rottentomatoes.com/m/stranger_eyes,86.0,91.0,"Mystery & Thriller, Drama",,2h6m,"Dec 5, 2025",Siew Hua Yeo,Chinese,,Film Movement
Muzzle: City of Wolves,https://www.rottentomatoes.com/m/muzzle_city_of_wolves,90.0,74.0,"Action, Mystery & Thriller, Crime, Drama",R (Language|Strong/Bloody Violent Content),1h30m,"Dec 5, 2025",John Stalberg Jr.,English,$88.6K,RLJE Films
The Night My Dad Saved Christmas 2,https://www.rottentomatoes.com/m/the_night_my_dad_saved_christmas_2,,,"Comedy, Fantasy, Holiday, Kids & Family",,1h33m,"Dec 5, 2025",Joaquín Mazón,Spanish,,Netflix
Not for Nothing,https://www.rottentomatoes.com/m/not_for_nothing,,,"Crime, Drama",,1h37m,"Dec 5, 2025","Tim Dowlin, Frank Tartaglia",English,,Buffalo 8
The First Snow of Fraggle Rock,https://www.rottentomatoes.com/m/the_first_snow_of_fraggle_rock,,,"Holiday, Kids & Family",,,"Dec 5, 2025",Jonathan A. Rosenbaum,English,,Apple TV
Sallywood,https://www.rottentomatoes.com/m/sallywood,35.0,77.0,Comedy,,1h35m,"Dec 5, 2025",Xaque Gruber,English,,Sneak Preview Entertainment
Diary of a Wimpy Kid: The Last Straw,https://www.rottentomatoes.com/m/diary_of_a_wimpy_kid_the_last_straw,,,"Kids & Family, Comedy, Animation, Adventure",PG (Mild Rude Humor),1h29m,"Dec 5, 2025","Gino Nichele, Matt Danner",English,,Disney+
Universal,https://www.rottentomatoes.com/m/universal,,,"Comedy, Drama, Sci-Fi",,1h30m,"Dec 5, 2025",Stephen Portland,English,,
Love and Wine,https://www.rottentomatoes.com/m/love_and_wine,,,"Romance, Comedy",,1h49m,"Dec 5, 2025",,English,,Netflix
